CONTROL,,,,,CS,,,,,CS+DEX,,,,,,AIRE's output:,,,,,,,,,,,,
ID,Image,AIRE,Lm (examiners 1+2+3/3),,ID,Image,AIRE,Lm (examiners 1+2+3/3),,ID,Image,AIRE,Lm (examiners 1+2+3/3),,,,,,,,,,,,,,,
39,39.01,38.5,33.75,,45,45.01,42.04,52.41,,70,70.01,38.3,39.11,,,Label,Airspace count,Mean Airspace Area (µm²),Mean Airspace Diameter (µm),Execution time (s),,Lm,AIRE,Diff (Lm - AIRE),,Pearson's r,,
,39.02,33.71,36.8,,,45.02,49.4,50.44,,,70.02,30.64,39.46,,1,39.01.jpg,31,1163.867,38.495,4.749,,33.74856065,38.495,-4.75,,0.74,,
,39.03,27.94,37.33,,,45.03,44.86,48.14,,,70.03,33.3,38.61,,2,39.02.jpg,33,892.539,33.711,4.531,,36.79856887,33.711,3.09,,,,
,39.04,36.87,34.85,,,45.04,55,51.03,,,70.04,37.95,41.32,,3,39.03.jpg,26,613.067,27.939,4.453,,37.32588523,27.939,9.39,,Time spent by examiners (s),,
,39.05,34.05,35.14,,,45.05,57.47,55.72,,,70.05,32.38,41.1,,4,39.04.jpg,18,1067.554,36.868,4.437,,34.8450646,36.868,-2.02,,José,59.16,
,39.06,51.84,35.38,,,45.06,37.06,49.02,,,70.06,34.66,34.37,,5,39.05.jpg,28,910.369,34.046,4.516,,35.14433328,34.046,1.1,,Emanuel,60,
,39.07,33.48,35.65,,,45.07,49.97,55.04,,,70.07,31.91,43.25,,6,39.06.jpg,17,2110.391,51.837,4.406,,35.37689331,51.837,-16.46,,Márcio,109.61,
,39.08,49.28,31.2,,,45.08,42.64,48.25,,,70.08,34.86,34.92,,7,39.07.jpg,23,880.123,33.475,4.422,,35.64884135,33.475,2.17,,,76.26,mean
,39.09,31.46,33.36,,,45.09,46.32,53.55,,,70.09,40.57,41.89,,8,39.08.jpg,17,1907.464,49.281,4.469,,31.19540531,49.281,-18.09,,,16.68,SEM
,39.1,29.38,33.16,,,45.1,49.15,57.45,,,70.1,29.64,40.34,,9,39.09.jpg,30,777.288,31.459,4.469,,33.36066033,31.459,1.9,,,,
42,42.01,33.15,32.29,,46,46.01,66.95,54.39,,71,71.01,41.16,36.49,,10,39.10.jpg,36,677.862,29.378,4.453,,33.16257708,29.378,3.78,,AIRE Execution time (s),,
,42.02,42.66,37.14,,,46.02,64.29,57.79,,,71.02,38.09,40.08,,11,42.01.jpg,42,862.807,33.145,4.468,,32.29413179,33.145,-0.85,,4.45,mean,
,42.03,30,30.41,,,46.03,49.23,48.82,,,71.03,32.89,35.2,,12,42.02.jpg,50,1429.173,42.658,4.328,,37.1365032,42.658,-5.52,,0.02,SEM,
,42.04,33.6,30.95,,,46.04,44.03,54.68,,,71.04,44.89,38.18,,13,42.03.jpg,39,706.839,30,4.453,,30.4093046,30,0.41,,6.6,Total (min),
,42.05,37.82,44.78,,,46.05,50.9,44.03,,,71.05,39.81,41.79,,14,42.04.jpg,49,886.903,33.604,4.437,,30.95252127,33.604,-2.65,,,,
,42.06,33.47,40.95,,,46.06,44.37,50.07,,,71.06,35.02,42.54,,15,42.05.jpg,38,1123.356,37.819,4.375,,44.78234127,37.819,6.96,,n-times faster:,,
,42.07,31.35,36.33,,,46.07,57.66,49.97,,,71.07,35.38,39.16,,16,42.06.jpg,40,879.618,33.466,4.375,,40.95087971,33.466,7.48,,17.1,,
,42.08,30.25,34.96,,,46.08,48.41,41.69,,,71.08,50.7,37,,17,42.07.jpg,45,772.042,31.353,4.39,,36.33089827,31.353,4.98,,,,
,42.09,32.72,37.2,,,46.09,47.68,50.31,,,71.09,45.74,38.74,,18,42.08.jpg,31,718.737,30.251,4.422,,34.95532441,30.251,4.7,,,,
,42.1,32.02,38.93,,47,47.01,46.22,43.83,,,71.1,33.49,34.84,,19,42.09.jpg,33,840.965,32.722,4.422,,37.20205456,32.722,4.48,,,,
