;;;;;;;;;;;;;;Examiner 3: Márcio
CONTROL;;;;;CS;;;;;CS+DEX;;;;
ID;Image;Points;Lm;;ID;Image;Points;Lm;;ID;Image;Points;Lm;
39;39.01;73;39.14;;45;45.01;55;51.95;;70;70.01;58;49.26;
;39.02;65;43.95;;;45.02;52;54.94;;;70.02;56;51.02;
;39.03;65;43.95;;;45.03;52;54.94;;;70.03;61;46.84;
;39.04;75;38.09;;;45.04;57;50.12;;;70.04;55;51.95;
;39.05;67;42.64;;;45.05;49;58.31;;;70.05;52;54.94;
;39.06;67;42.64;;;45.06;56;51.02;;;70.06;60;47.62;
;39.07;68;42.01;;;45.07;55;51.95;;;70.07;50;57.14;
;39.08;72;39.68;;;45.08;51;56.02;;;70.08;67;42.64;
;39.09;67;42.64;;;45.09;59;48.42;;;70.09;49;58.31;
;39.1;78;36.63;;;45.1;49;58.31;;;70.1;46;62.11;
42;42.01;78;36.63;;46;46.01;51;56.02;;71;71.01;60;47.62;
;42.02;69;41.41;;;46.02;45;63.49;;;71.02;52;54.94;
;42.03;81;35.27;;;46.03;55;51.95;;;71.03;62;46.08;
;42.04;78;36.63;;;46.04;52;54.94;;;71.04;67;42.64;
;42.05;56;51.02;;;46.05;60;47.62;;;71.05;63;45.35;
;42.06;60;47.62;;;46.06;54;52.91;;;71.06;55;51.95;
;42.07;70;40.81;;;46.07;52;54.94;;;71.07;56;51.02;
;42.08;68;42.01;;;46.08;60;47.62;;;71.08;70;40.81;
;42.09;63;45.35;;;46.09;54;52.91;;;71.09;62;46.08;
;42.1;64;44.64;;47;47.01;58;49.26;;;71.1;82;34.84;
43;43.01;73;39.14;;;47.02;56;51.02;;72;72.01;70;40.81;
;43.02;68;42.01;;;47.03;58;49.26;;;72.02;72;39.68;
;43.03;69;41.41;;;47.04;39;73.26;;;72.03;73;39.14;
;43.04;70;40.81;;;47.05;49;58.31;;;72.04;44;64.93;
;43.05;62;46.08;;;47.06;50;57.14;;;72.05;52;54.94;
;43.06;68;42.01;;;47.07;53;53.91;;;72.06;59;48.42;
;43.07;69;41.41;;;47.08;56;51.02;;;72.07;59;48.42;
;43.08;68;42.01;;;47.09;59;48.42;;;72.08;62;46.08;
;43.09;62;46.08;;;47.1;55;51.95;;;72.09;54;52.91;
;43.1;70;40.81;;;;;;;;72.1;54;52.91;
;;;;;CS MEAN;;;53.86;;;;;;
CONTROL MEAN;;;41.82;;;;;;;CS+DEX MEAN;;;49.05;
;;;;;;;;;;;;;;
Lm = Ltot / Li;;;;;;;;;;;;;;
Ltot =;2857;micrometers;;;;;;;;;;;;
