,,,,,,,,,,,,,,Examiner 2: Emanuel
CONTROL,,,,,CS,,,,,CS+DEX,,,,
ID,Image,Points,Lm,,ID,Image,Points,Lm,,ID,Image,Points,Lm,
39,39_01,92,31.05,,45,45_01,51,56.02,,70,70_01,86,33.22,
,39_02,86,33.22,,,45_02,63,45.35,,,70_02,89,32.1,
,39_03,84,34.01,,,45_03,67,42.64,,,70_03,91,31.4,
,39_04,86,33.22,,,45_04,56,51.02,,,70_04,83,34.42,
,39_05,91,31.4,,,45_05,53,53.91,,,70_05,90,31.74,
,39_06,90,31.74,,,45_06,59,48.42,,,70_06,111,25.74,
,39_07,88,32.47,,,45_07,51,56.02,,,70_07,84,34.01,
,39_08,106,26.95,,,45_08,62,46.08,,,70_08,92,31.05,
,39_09,98,29.15,,,45_09,53,53.91,,,70_09,81,35.27,
,39_10,88,32.47,,,45_10,55,51.95,,,70_10,98,29.15,
42,42_01,91,31.4,,46,46_01,48,59.52,,71,71_01,96,29.76,
,42_02,74,38.61,,,46_02,52,54.94,,,71_02,87,32.84,
,42_03,90,31.74,,,46_03,59,48.42,,,71_03,96,29.76,
,42_04,93,30.72,,,46_04,43,66.44,,,71_04,81,35.27,
,42_05,60,47.62,,,46_05,73,39.14,,,71_05,74,38.61,
,42_06,70,40.81,,,46_06,63,45.35,,,71_06,75,38.09,
,42_07,80,35.71,,,46_07,65,43.95,,,71_07,85,33.61,
,42_08,82,34.84,,,46_08,78,36.63,,,71_08,79,36.16,
,42_09,77,37.1,,,46_09,55,51.95,,,71_09,80,35.71,
,42_10,72,39.68,,47,47_01,69,41.41,,,71_10,81,35.27,
43,43_01,82,34.84,,,47_02,59,48.42,,72,72_01,67,42.64,
,43_02,75,38.09,,,47_03,73,39.14,,,72_02,75,38.09,
,43_03,83,34.42,,,47_04,44,64.93,,,72_03,82,34.84,
,43_04,79,36.16,,,47_05,56,51.02,,,72_04,83,34.42,
,43_05,70,40.81,,,47_06,55,51.95,,,72_05,86,33.22,
,43_06,83,34.42,,,47_07,59,48.42,,,72_06,82,34.84,
,43_07,80,35.71,,,47_08,59,48.42,,,72_07,87,32.84,
,43_08,97,29.45,,,47_09,61,46.84,,,72_08,74,38.61,
,43_09,93,30.72,,,47_10,65,43.95,,,72_09,81,35.27,
,43_10,83,34.42,,,,,,,,72_10,80,35.71,
,,,,,CS MEAN,,,49.52,,,,,,
CONTROL MEAN,,,34.43,,,,,,,CS+DEX MEAN,,,34.12,
,,,,,,,,,,,,,,
Lm = Ltot / Li,,,,,,,,,,,,,,
Ltot =,2857,micrometers,,,,,,,,,,,,
